FECHA;DEPARTAMENTO;MUNICIPIO;DIA;CLASE DE ESTUPEFACIENTE;CLASE DE SITIO;ZONA;UNIDAD DE MEDIDA;CÓDIGO DANE;CANTIDAD
1/01/2018;ANTIOQUIA;BELLO;Lunes;BASE DE COCA;VIAS PUBLICAS;RURAL;GRAMO;5088000;40
1/01/2018;ANTIOQUIA;CARACOLÍ;Lunes;BASE DE COCA;VIAS PUBLICAS;URBANA;GRAMO;5142000;5
1/01/2018;ANTIOQUIA;MEDELLÍN;Lunes;BASE DE COCA;VIAS PUBLICAS;URBANA;GRAMO;5001000;12
1/01/2018;ANTIOQUIA;SAN ROQUE;Lunes;BASE DE COCA;FINCAS Y SIMILARES;RURAL;GRAMO;5670000;2
1/01/2018;ANTIOQUIA;TÁMESIS;Lunes;BASE DE COCA;VIAS PUBLICAS;URBANA;GRAMO;5789000;4
1/01/2018;ANTIOQUIA;URRAO;Lunes;BASE DE COCA;VIAS PUBLICAS;URBANA;GRAMO;5847000;28
1/01/2018;ATLÁNTICO;BARRANQUILLA;Lunes;BASE DE COCA;VIAS PUBLICAS;URBANA;GRAMO;8001000;260
1/01/2018;CUNDINAMARCA;BOGOTÁ D.C.;Lunes;BASE DE COCA;VIAS PUBLICAS;URBANA;GRAMO;11001000;400
1/01/2018;CUNDINAMARCA;SOACHA;Lunes;BASE DE COCA;VIAS PUBLICAS;URBANA;GRAMO;25754000;40
1/01/2018;NORTE DE SANTANDER;OCAÑA;Lunes;BASE DE COCA;VIAS PUBLICAS;URBANA;GRAMO;54498000;24
1/01/2018;RISARALDA;DOSQUEBRADAS;Lunes;BASE DE COCA;VIAS PUBLICAS;URBANA;GRAMO;66170000;50
1/01/2018;ANTIOQUIA;BETULIA;Lunes;BASUCO;VIAS PUBLICAS;RURAL;GRAMO;5093000;14
1/01/2018;ANTIOQUIA;FREDONIA;Lunes;BASUCO;VIAS PUBLICAS;RURAL;GRAMO;5282000;3
1/01/2018;ANTIOQUIA;JARDÍN;Lunes;BASUCO;VIAS PUBLICAS;URBANA;GRAMO;5364000;6
1/01/2018;ANTIOQUIA;SAN ROQUE;Lunes;BASUCO;FINCAS Y SIMILARES;RURAL;GRAMO;5670000;3
1/01/2018;ANTIOQUIA;TITIRIBÍ;Lunes;BASUCO;VIAS PUBLICAS;URBANA;GRAMO;5809000;2
